olympic_record_id,athlete_name,age,year,medal,country,sport,event
659,Marcello Bartalini,22.0,1984,Gold,Italy,Cycling,Cycling Men's 100 kilometres Team Time Trial
660,"Carmine R. ""Carmen"" Barth (DiBartolomeo-)",19.0,1932,Gold,United States,Boxing,Boxing Men's Middleweight
661,"Josef Henri ""Josy"" Barthel",25.0,1952,Gold,Luxembourg,Athletics,"Athletics Men's 1,500 metres"
662,Yan Barthelem Varela,24.0,2004,Gold,Cuba,Boxing,Boxing Men's Light-Flyweight
663,Richard Barthlemy,,1912,Gold,Italy,Art Competitions,Art Competitions Mixed Music
664,Robert Bartko,24.0,2000,Gold,Germany,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres"
665,Robert Bartko,24.0,2000,Gold,Germany,Cycling,"Cycling Men's Team Pursuit, 4,000 metres"
667,Michiel Bernhard Emiel Marie Bartman,29.0,1996,Gold,Netherlands,Rowing,Rowing Men's Coxed Eights
668,"Gregory Mark ""Greg"" Barton",28.0,1988,Gold,United States,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres"
669,"Gregory Mark ""Greg"" Barton",28.0,1988,Gold,United States,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres"
670,Saskia Bartusiak,33.0,2016,Gold,Germany,Football,Football Women's Football
671,Anita Brwirth (-Hardekopf),17.0,1936,Gold,Germany,Gymnastics,Gymnastics Women's Team All-Around
676,Fabio Basile,21.0,2016,Gold,Italy,Judo,Judo Men's Half-Lightweight
677,Giulio Basletta,38.0,1928,Gold,Italy,Fencing,"Fencing Men's epee, Team"
678,"Raymond Henry ""Benny"" Bass",22.0,1932,Gold,United States,Gymnastics,Gymnastics Men's Rope Climbing
679,Lanny Robert Bassham,29.0,1976,Gold,United States,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres"
680,Istvn Bsti,24.0,1968,Gold,Hungary,Football,Football Men's Football
